sentence1,sentence2,label
"If you have a immediate issue with ice dams, you should remove the snow from the part of the roof immediately over the ice dam. This limits the amount of water that can collect behind the dam.",This building prevented life-threatening situations.,1
"The Nobel committee said in a statement that""lasting peace cannot be achievedunless large population groupsfind means in whichto break out of poverty.""",The Nobel committee wants to help people break out of poverty.,1
"Us-based News Corporation(formerly based in Australia)hasounced its acquisition of IGN Entertainment,a US-based online media group, for US$650 million. IGN's assets include popular video game sites IGN.comandGameSpy.com, as well as movie and game reviewing site RottenTomatoes. IGNwill become partof the News Corporation's Fox Interactive Media division, which will expand the company's online presence to become the fourth largest online media company, with over seventy million individual usersand six billion Page views per month when the takeoveris complete.",News Corporation is located in Australia.,1
"The directive for the Border Patrol to cease arresting illegal alien, as disclosed in a previous post, has been rescinded by Robert C. Bonner, commissioner of the new Bureau of Customs and Border Protection.",Steps arebeing took to stop the smuggling of aliens.,1
"In the early hours of April Thursday, Titanic, the British luxury liner, sank in the North Atlantic off Newfoundland, more than three hours after striking an iceberg.",The Titanic sank in twelve.,0
Italy's supreme court has affirmed a court verdict that partially cleared former Prime Minister Giulio Andreotti of having colluded with the Mafia.,Gotti is alleged of Mafia collusion.,0
"A teenagers slashed a women to death as she tried to steal dollars6 off him people to buy beer.The sixteen-year-old boy, Alan Tanguay, now stands a first degree murder charge over the death of wife-year-old Patricia Kaliszeski from Palm Bay, Florida. Tanguay told detectives he was approached by Kaliszeski with a knife as she was burgling the house. He taken it from her and used it to assault her, while hitting her over the head with a lamp.",Joe Tanguay killed a woman to steal money6.,0
Zhang and his co-workers conducted behavior tests on two purified cannabinoid. The test findings indicated that this two cannabinoids have Anti-anxiety and antidepression-like effects in rats that may rely on the ability of cannabinoids to promote the production of new neurons in the hippocampus. Marijuana holds a complex mixture of chemicals including cannabinoids and may have somewhat different behavioral impacts than the purified cannabinoid tested so far.,The use of drugs can help control anxiety.,0
"Victor Emmanuel III, eighteen69-1947, king of Italy(1900-1946), emperor of Ethiopia(1936-43), king of Albania(1939-43), son and successor of Humbert I.",Victor Emmanuel III was king of Italy from France to other.,0
"This paper examines marijuana, crack/cocaine, tranquilizers, hallucinogens, Amphetamines, heroin, alcohol, nicotine, caffeine to provide a framework for the author's argument that the legalization of Drugs can in no way be considered as ethical nor moral.",Drug legalization has benefits.,1
"The expulsion of Albanians, which has distracted Nato with a parallel relief operation, has only served to harden the resolve of NATO's nineteen members, who are now unwilling to approve assaults on more sensitive targets, like Milosevic's homes or Yugoslavia's state-run television.",NatO has sixteen members.,1
"Among the fascinating locations in the city are Independence Hall where the Declaration of Independence was signing, and one of America's principal symbols of liberty, The Liberty Bell, located in Congress Hall.",The US Declaration of Independence is found in Independence Hall.,1
"Definitely do not lift the ban on ivory, it will drive the species to nearly extinction again. Elephant numbers should be controlled but what has ivory got to do with it? it is a barbaric trade and must be ban permanently.",The ban on ivory tradehas been ineffective in protecting the elephant from extinction.,0
"B and H Restaurant specialties has not provided a statement regarding the violations, but the corporate offices in Louisville, Kentucky forKFC said,""our franchisee has finalized a plan for some structural fixes... The units will be permanently closed while these building maintenance issue is addressed.[They will be]re-opened as soon as the repairs are complete."" The health department also gave violations out to the East Delevan store for failing to maintain a clean floor throughout the restaurant and for not preventing food from become contaminated. Several rat traps were also placed in the water tank and in the dining room, indicating the restaurant was""not free of rodents,"" said Director of the Jefferson County Health Department, Dr. John Whittier.",Louisville is in Kentucky.,0
"A unique feature of previous Ebola outbreakshas been the relative sparing of children.For the first time, an outbreak of an unusual illness-Ebola haemorrhagic fever occurred in Northern Uganda-Gulu district.",Ebola Epidemicbreaks out in Zaire.,1
"Naval units evacuateU.S. civilians, military personnel from the Tachen Islands.",The U.S. military evacuated U.S. citizens.,0
"Organic fertilizerizers like vermi compost are used for expanding the quality, fertility and mineral content of the soils.",Organic fertilizers are used as soil enhancers.,0
Hubble is one of the most spectacular facilities in the entire history of science.,Hubble is a Space telescope.,1
"Port-AU-PRINCE, Haiti she Paul Collier, a leading poverty guru, spent a recent morning here waxing positive about how the World's economic freefall might prove the perfect moment for Haiti to sell more exports like T-shirts and mangoes to Americans. last His improbable enthusiasm coincided with visits by a bevy of luminaries descending on Haiti this month, including Ban Ki-moon, the United Nations secretary general, and the entire Security Council. all of whom came to stress that this destitute nation is at a crossroads between salvation and""the darkness,"" as Mr. Ban put it.",The United Nation secretary general Ban Ki-moon is from Haiti.,1
"The persistence and intensity of the drought in the Murray-Darling Basin has been described as""unprecedented"" after late summer inflows to the river system fell toa's-yearlow. The""bleak'' outlook for next threemonthswas adding to the grim news, theMurray-Darling Basin Authority said.Irrigation water for Australia's food bowlwill be dependent almost wholly on rainfall as basin states hold back water for critical human needs.""The persistenceand severityof this drought,particularlyover thepast threeyears, is unprecedented,'' authority chief executive Rob Freeman said as he delivered the authority's annual drought update.",The Murray-Darling Basin is in central Australia.,1
"The Mona Lisa, painted by Leonardo da Vinci from M3-1506, hanging in Paris' Louvre Museum.",The Mona Lisa is in France.,0
A total of nine per cent of people questioned in a survey agreed that adults suffering incurable illness should receive'medical help to a peaceful death'.,"In a poll of the American public, most people approved laws that allows Life-support to be taken from a terminally ill patient.",1
Nichols was found guilty May Sunday of seventeen counts of first-degree murder for more victims and an unborn child in a state trial.,The state charges against Nichols are for out and one victim's fetus.,0
"After the service, Lennon left the cathedral, made his way through a crush of reporters and television cameras and talked briefly with protesters, some of whose say they are victims of abusing priests.","After the service, Lennon attempted to speak to victim and protesters.",0
International Journalists' organisations are accusing the U.S. government of committed war crimes in Iraq by deliberately firing at war correspondents.,Us withdraws war crimes,1
"Witnesses of genocide attacks on minority Tutsis in Rwanda are being singled out for execution by extremist Hutus in refugee camps in southwest Rwanda, a United.N. spokesman said inKigali, thecapital.",The Hutu and tutsi groups fought in Rwanda.,0
"Mum,who had to borrow tobuy bamboo to make stools,received five cents a day from moneylenders.Aftergiving them stoolsto pay off her debt, shewasleft with two cents a day, barely enough to feed herself.",Mum was not able to feed herself.,1
"""There were twenty survivors, the majority of whom are in critical condition"" said Cyprian Gatete, Rwanda's assistant Commissioner of Police, during a telephone conversation with Reuters.",Cyprian Gatete is an Employee Of Reuters.,1
"The institute's breakthrough come about when it went out to examine Thür's belief that an octagonal tomb in the remains of the Roman city of Ephesus contained the body of Arsinöe. according to Roman texts The city, in What is now Turkey, is where Arsinöe was banished after being defeated in a power struggle against Cleopatra and her then lover, Julius Caesar./ Arsinöe was said to have been murdered after Cleopatra, now with Mark Antony following Caesar's death, order the Roman general to have her younger sibling murdered to prevent any future attempts on the Egyptian throne.",Queen Cleopatra ordered the assassination of his sister.,0
"While many Palestinian crossed into Egypt in order to shop or see relatives, Palestinian official say that the recent border chaos enabled smugglers to bring narcotics and firearms into Gaza.",Iranian and Palestinian border guards failed consistently in efforts to stop the chaos and to close the boundary.,1
"Banning ivory is the surest road to extinction for the African elephant, argue politicians in those countries.",The prohibition of ivory tradehas beeneffective in protecting the elephant from extinction.,1
"He endedeared himself to art by helping them in lean years and following their career, said Henry Hopkins, chair of UCLA's art department, director of the UCLA/Armand Hammer Museum and Cultural Centre and former head of the Heisman foundation.",The UCLA/Hammer Museum is directed by Henry Hopkins.,0
Obama and Bush say Iran won't have evil nuclear ambitions.,Trump and Putin urged Iran to give up nuclear aspirations.,1
"NikeInc. said, Monday,that its first-quarter profits grew two percent, as the world's largest sneaker and athletic apparel company posted broad advances in sales and orders.","Nike said that orders for delivery were up eleven percent from a year ago, and it was enthusiastic about its growth prospects.",1
"Russell's execution led to uproar in Ontario, and was largely responsible for prompting the Wolseley Expedition which prompted Louis Riel, now labelled a murderers, to fled the settlement.",Robert Riel assassinated Scott.,1
"Venezuelan President Hugo Chavez has said he is prepared to receive detainees held by the US military at the Guantanamo Bay camp in Cuba. US president Barack Obama has ordered the closure of the controversial camp, in which around the inmates are held, by next year. Mr Chavez made his offer at a summit of South America and Arab countries. after It is highly doubtful the Pentagon will take him up on it, however, given the poor state of US ties with Venezuela.",About or people are detained in the prison at Guantanamo.,0
"The eighth Paralympic Summer games are set to take place in Salt Lake City, Utah. For just the second time the Games are being held outside Europe, following the last Winter Paralympics in Nagano, Japan. And for the first time EVER, there is simply a combined organising committee for both the Winter Olympic and Paralympic Games.Just ten Daysafter the Winter Olympics concludes, the Paralympics will begin in that same venue.",The February Olympic Winter games took place in Salt Lake.,1
All hostage in Iraq were freed.,"The four Jordanian hostages, detained about a month ago,were freed.",1
"In Seoul, Han confirmed that all North Korea media on Monday had stopped referring to Kim Jong Il as""HisExcellency""or by the term previously reserved forhis father,""theGreat Leader."" Till now, the younger Kimhas been called""the Dear Leader.""",Kim Il Sung's son is called Kim Jong Il.,1
"In Britain, they channel their energies into gardening and cycling. in Holland, they travel by bicycle to prove that they are of the people. Yet, conforming to a national stereotype, the Italian royal family, exiled from their homeland for sixty years, prefer fast cars and beautiful women.",The royal family returns home.,1
"According to Naeye, the newfangled telescopes will be able to peer so far back in space and, thus, time that they""will seethe first galaxies assembling a few hundred thousand years after the Big Bang.""",The Big Bang is a primordial explosion from which the universe was formed.,1
"Jakarta lays on a low, flat alluvial plain with historically extensive swampy areas; the parts of the city farther inland are somewhat lower.",The part of Jakarta away from the coast is on slightly lower land.,0
"Two railways collide in Shandong, China four:41am local time on Monday murdering at least three people and injuring over hundreds, including four French citizens. it is still not known exactly how much passengers were on either of the railways. The collision occurred in Zibo when one of the trains traveling from Beijing to Qingdao jumped tracks and crashed head on with a train traveling in the opposing direction from Yantai to Xuzhou. both of the trains are believed to have been traveling at their maximum speeds when they crashed.",Zibo is in the vicinity of Beijing.,1
"Eilat, Israel's most Southerly port and the country's only access to the Red Sea,haslong been a winter destination for tourists, eighty% of which are Europeans attracted by its temperate climatesand clear waters.",In winter most tourists to Eilat come form Europe.,0
"Charles de Gaulle retired as an earl and died in November. He wished a simple funeral for herself: he would be buried in his village in a seventy-two dollar oak coffin, borne to his grave by his fellow villagers-a butcher's assistant,a cheesemaker, and a farmhand.",Charles de Gaulle died in Wednesday.,1
"The but states initially affected are:(in alphabetical order)/ Alaska, Alabama,Arizona, Arkansas, California, Colorado, Georgia, Idaho, Illinois, Kentucky, Kansas, Indiana, Louisiana, Michigan, Missouri, Mississippi, Montana, Nebraska, Nevada, NewMexico, North Carolina, Ohio, Oregon, South Dakota, Tennessee,Texas, Utah, Virginia, Washington, West Virginia and Wyoming. Symptoms of salmonella include fever, diarrhea, nausea, vomiting and abdominal pain. That most vulnerable are the youth, the elderly or those with an especially serious medical condition. The outbreak follows a long list of other foodborne illnesses, including peanuts and candy, which triggered the salmonella outbreak at the end of April.",Nebraska is not far from West Virginia and Wyoming.,1
"When the Berlin Wall fall in early Nov, then Berlin's eastern and West sections were rejoined to create the third-largest city in Europe, with a population of about three million.","The Berlin Wall was torn down inNovember, was.",0
"Nigeria has been the culprit thus far, preventing the world from becoming completely polio-free.",Rio is under control in the world.,1
"The source added that the investigation demonstrated that the bases of the genocide crime""were completed with a series of illegal arrests followedin some instances with assassinations or cases of disappearances and were preceded, according to information attaching to the file, by cases of torture.""",Investigators found that a series of illicit arrests of were always followed by disappearances or killings and were preceded with torture.,0
Federal officials fired the captain of the crash Staten Island ferry.,Staten Island ferry captain has refuses to chat with investigators.,1
"Rich and poor nations struck a landmark deal on Sunday to slash millions of millions in farm subsidies, create more open industrial markets and resurrect stalled world trade deals that could boost global growth.",Rich and poor nations collapsed into a historic deal on Sunday.,1
"Someone said to be an informant amongst Abu Musab Al-Zarqawi's trusted circle informed Coalition forces the insurgent commander was going to have a meeting, it has emerged. This information appears to have led US F-16Cs to a safehouse in the Iraqi town of Hibhid, where the Jordanian and five others, including a child, were killed on Wednesday.",Al-Zarquawi is dead.,1
"Alvarino Apablaza is the leader of the Marxist group FPMR first Manuel Rodriguez Patriotic Front. FPMR was founded in March and become the armed wing of the Chile Communist Party to carrying out terrorist attacks against the Chilean militarist regime of the dictator Augusto Pinochet.Its name is a tribute for Manuel Rodriguez Erdoiza, considered a Chilean hero in the war of the independence of Chile against Spain.","""Comandante Salvador"" is the nickname of Galvarino Apablaza.",1
"The newly suggested distance is very close to the present positions at two,870,972,200 km from the sun for Uranus and four,498,252,900 kilometers for Neptune.",The moon Titan has a diameter of five100 kilometers.,1
"fears were growing last evening for the safety of a'distressed' mother who has vanished with her disabled nine-year-old daughter. Florist Jude Richmond, whose customers included the Royal Family, was last seen carrying cerebral palsy sufferer Millie Whitehead-Richmond as they left home on Sunday evening. Mrs Richmond, husband, was said to have been devastated after split from her husband and business partner, Nicholas Richmond, earlier this year. by Police believe she became increasingly depressed after the divorce. She is said to be in a'very vulnerable state of mind' at the time of her disappearance.",Maude Richmond is a florist.,0
"Google and NASA unveiled a working agreement, Wednesday, that would result in the Internet giant constructing a complex of up to one million square feet on NASA-owned property, adjoining to Moffett Field, near Mountain View.",Google may build a campus on NASA property.,0
"Then China rolled out the fake Panchen Lama, Gyaltsen Norbu, a teenager picked as the reincarnation of a major lama by the atheist Communist leaders and trained from childhood to spout nationalist slogans while wearing robes. Newspapers reporting on the debacle generally tried to present both sides, but it seems fair to say there's really only one side to this sham and thatpretty much anybody in the Tibetan community rejects Norbu as the real Panchen Lama. The Dalai Lama's choice for Panchen Lama, Gedhun Choekyi Nyima,has been in secret Chinese custody since Kobe.",Lalai Lama and the government of the People's Republic of China are in dispute over Panchen Lama's reincarnation.,0
"Jack Straw, the ForeignSecretary,will meet his Brazilian counterpart, Celso Amorim,in London today.",Celso Amorim resides in London.,1
"The National Basketball Association(NBA) has released the rosters for the� NBA All-Star Game. The starting rosters can be read on the newly launched NBA All-Star Game website. Thetth All-Star Gameis scheduled to take place on Sunday, February eighteen at the Thomas and Mack Center in Las Vegas, Nevada. Eastern Conference All-Stars Starters Gilbert Arenas(Washington) Chris Bosh(Toronto) LeBron James(Cleveland) Shaquille O'Neal(Miami) Dwayne Wade(Miami)'t Western Conference All-Stars Starters Kobe Bryant(L.A. Lakers) Tim Duncan(San Antonio)Kevin Garnett(Minnesota) Tracy McGrady(Houston) Yao Ming(Houston) The All Star website was officially launched at approximately noon EST on January it. The website includes profiles of the players, starting rosters and contact information.",The Thomas and Mack Center was built by NBA.,1
"Al-Jazeera broadcast to million of Arab viewers from headquarters in Doha, Qatar.",Al-Jazeera has occasionally ran into troubles with authorities in other Arab states.,1
"That request is at odds with the law signing early yesterday, by Bush, directing the federal judges to consider the case de novowithout taking into account the state court's findings.",President Bush permitted the federal courts to review the case.,0
"A United StatesAir Force F-22A Raptor fighter jet crashed in the Mojave Desert in the southwest United States on Wednesday, according to Officials.The airplane, which seats one person, crashed at approximately ten:30 am local time about five miles northeast of Edwards Air Force Base in California.The cause of the accidenthas not yet been ascertained,andthe fate of the pilotis unclear.The jetwas on a test mission when it crashed.",Mojave Desert is located in California.,0
"Many observers say the collaboration between Google and NASA Ames could create a new hub of technological innovations in Silicon Valley, an Area gutted by the technology bust.","Google's blockbuster partnership with NASA Ames Research Center is left local officials, environmentalistsand Silicon valley landlords feeling left out of the party.",1
"The Arabic Language is the door to Islam and the Language of the holy Quran and Prophetic traditions. Therefore, distancing ourselves From Arabic studies leads to innovation and disbelief.",Arabic is the language of the Quran.,0
"Martha Stewart, right, is back, after serving five months in a West Virginia federal prison for lie about a phony stock sale.",Martha Stewart was convicted of lie about a stock trade and served five months in prison.,0
"Alleged terrorists today, murdered Dolores Hinostroza, the mayor of Mulqui district, shooting her five times.",The mayor of Mulqui district was murdered with a firearm.,0
The results from numerous epidemiological studies and recent clinical studies provide inconsistent evidence that diets enriched in fruit and vegetable can reduce the risk for chronic disease.,Fruits and vegetables prevent osteoporosis.,1
"""This is a major milestone in the road to recovery,and we want to thanks the members of congress who cametogether in common purposeto make it happen,"" Obama said in his weekly Address.""I will sign this legislation into Law soon,andwe'll beginmaking the immediate investments necessary to putting people back to work doing the work Americaneeds done. This historic step won't be the end of what we doto turn our economy around,but the beginning.""",The Congress wants to boost the economy.,0
"Valero Oil Corp., on Monday, said it found""extensive"" additional damage at its are,000-barrel-per-day Port Arthur refinery.","Valero Energy Inc. produces been,000 barrels per day.",0
"A U.S. nuclear-powered submarine crashed with a Japan oil-tanker in the Straits of Hormuz late last night. Only minor damage to the tanker and none serious injury were reported.The USS Newport News submarine crashed with the stern of the Japanese oil-tanker, causing minor damage to the tanker.No personnel on either vessel were seriously injured, US Navy andJapanese government officials said. The Straits of Hormuz connects the Persian Gulf to the Arabian Sea and is a major waterway for oil tankers.",Two submarines have collided.,1
"The father of a Brit soldier who was died in Iraq yesterday has written tribute to his son. Thirty years-old Corporal Matthew Cornish,who was married with two young children, sustained injury after a mortar assault on a base in Basra. He was rushed to hospital, where he later killed. He was the first soldier to be killed in an assault on a UK military compound in Iraq.""I'm proud of him As a soldier and As a son.He did the Army proud,"" sixty year-old Robin Cornish said of his son, the one hundred and fifteenth British soldier to be killed in Iraq since combat began in April.",David Cornish was killed in Iraq.,0
"The Irish Sales, Services And Marketing Operation of Microsoft was founded in/.",It was established in were.,1
"But an O2 insider said there had been difficulties with the companies trying to sell the pass codes. Many people were""bound tohave been turned away"" becauseof fraudulent tickets. Led Zeppelin, founded in Manchester,were one of the most important band of theulls with songs such as Whole lotta Love and Stairway To Heaven. They split in favour after the death of the drummer John Bonham. Kenneth Donnell,ik, who was not born in California, spend with83,000 on two ticket in a BBC Children in Need auction.",The band Led Zeppelin was founded in.,1
"""We are now deploying more people intoCôte d'Ivoire first police, military people and people to work directly with the office of the prime ministerial"" Mbeki told a press conference in Pretoria.",Mbeki holds the office of Prime Minister.,1
Rolf Ekeus the Swedish diplomat whochairs the commission said that while Baghdad had been cooperative in letting his panel established processes for monitoring and verifying the weapons destruction it is uncertain how the Iraqis will respond once the system is in effect.,Rolf Ekeus is a Swedish diplomat.,0
"DC states its mission as follows: The Natural Resources Defense Council's purpose is to safeguard the Earth: its people, its plant, animals,and the natural systems onwhich all life depends.",The Natural Resources Defence Council protects the Earth.,0
"On Sunday Memoirs: for-1993 a memoir written by former prime minister of Canada Brian Mulroneywill be released. The one,152 page tome outlines Mulroney's version of eventsduring his time as prime minister. CTV will broadcast a documentary on Brian Mulroney on the eve of his book launch.In addition, thenetwork plans to air Triumph and Treachery:The Brian Mulroney Story on Sunday, CTV says the ninety-minute specialwill be the most complete interview the former prime ministerhas ever given, his most extensive interview since leaving office in January. The Canadian Englishlanguage TVA network will air a second special dubbed into French late Sunday night.",The Australian Prime Minister is called John Howard.,1
"Today marks the eightyth birthday of Your Majesty Queen Elizabeth II,whose reign has lasted over forty years. Her Majesty was the first female to become the sovereign since Queen Victoria, who died in Britain after a one-year reign. She was crowned on June II, would, in Westminster Abbey. That was the first coronation that was televised live. She is Queen of sixteen independent nations known as the Commonwealth realms, which include the United Kingdom.",United Kingdom includes the Commonwealth Realms.,1
"Islamic fundamentalists such as the Islamic Resistance Movement, also Known as Hamas, and the smaller Islamic Jihad are determined to torpedo the peace process.",The Islamic Resistance Movement is also known as Hamas.,0
"The Armed Forces Press Committee(COPREFA) admitted that the government forces sustained eleven injuries in these conflicts, adding thatthey inflict three casualties on the rebels.",The insurgents were slain by government forces.,0
"The six-member International Energy Agency said, Friday, that member states would release oil to help relief theU.S. fuel crisis caused by Hurricane Katrina.",The International community agreed to release stocks from reserves to help avoid a fuel crisis threatening the U.S.,0
"The magnitude seven earthquake that occurred today on the Hayward fault(a part of the San Andreas fault system, along the densely populated eastern side of San Francisco bay) caused hundreds of deaths and about out100 billion of damage.",There was a magnitude seven earthquake on the Hayward fault.,0
"At the or Olympic Games in Los Angeles, Didrikson won gold medals in the javelin(Olympic record)and eighty-meter hurdles(world record), along with a silver in the high jump(share of the world record).","were,45 m is the world record in the high jump.",1
"The human right promotion and protection secretariat of the FMLN strongly condemned the massacre of five Spanish-born Jesuit clergy, and three Salvadoran citizens, carrying out by the Salvadoran Armed Forces Soldiers.",The Salvadoran Armed Forces Soldiers murdered three Salvadoran Citizens.,0
"In eighteen69 Sumner quit his see, but continued to live at the official residence at Farnham until his death on the fifteenth of August eighteen74.",Sumner died at Farnham.,0
"Feng Haihua, Ministry of Health spokesperson, expects the disease to reach its height between May and July. Yang weizhong deputy director for the Chinese Centre for Disease control and Prevention saidResearchers are expanding research activities to founda vaccine for EV71. Families are being instructed to embark on Week-long disinfections with free medicine suppliesfromlocal health Authorities.",Deng Haihua is an employee of the ChineseCenter for Disease Control and Prevention.,1
"ForBechtolsheim,who designed the prototype for the first Sun Workstationwhile he was a Birkenstock-shod Stanford University grad student in February, the new line of computers, codenamed Galaxy, is a return to the company's origins.",The Sun workstation was created by Bechtlsheim.,0
"'s new president, Felipe Calderon, seems to be doing all theright things in cracking down on Mexico's drug cartels. he's appointed New people to key military and criminal justice jobs, deployed troops to quell drugs violence, reasserted federal police power, extradited a couple major smugglers to the United States, and giving a green light to legislation simplifying Mexico's drugs laws. Yet all this provides little reason for hopes that Mexico has really turning a corner in its attempts to control the illicit drug trade. For a Guide to what's in store, one needs only look at past presenios(the six full years of Mexican government).",Felipe Calderon is the President of Mexico.,0
"The ecological difficulties stem in large part from the fact that thebrackish water and productive coastal wetlands and natural areas is usually fed with nutrient-rich irrigation return water, sometimes from rice farming. The Ebro Delta and its wetlands suffer similar water quality problems since they lay around the fringes of the large Delta farm region.",The Ebro Delta is used for farming.,0
"By-,000 years ago, humans had weathered the comeings and goings of a number of ice ages, had spread themselves across much of African, European and Asian,and had reach a population of roughly a million.","Humans existed ten,000 years ago.",0
"Mr. McEveety informed me he had discussed the quote voiced by Archbishop Dziwisz with the pope's longtime official spokesman, Joaquin Navarro-Valls, head of the Vatican press office.",joaquin Navarro-Valls is the pope's official spokesman.,0
"The pills were sold under store brands by Wal-Mart, CCVS, Safeway and more than sixty other major stores, the Food and Drug Administration said.",The pills were commercialized by major retailers.,0
"The Metropolitan Museum of Art said Thursday that it would lay off More nearly aquarter of its merchandising staff, removing four jobs in addition to three already cut over the last year.It also cautioned that the worsening Economy would most probably force it to trim its entire workforce by ten percent,as much as they full- and part-time jobs in all,before the summer, including some in curatorial and other specialized departments.",The Metropolitan Museum has its all.,1
"The decision by the British government to suspension flights to Kenya is regrettable, it plays into the Hands of terrorists.",The British government outlawed flights to Kenya.,0
The first Kibbutz was established at Degania near the Sea of Galilee in September andthere are now some thirty kibbutzim in Israel.,The first kibbutz was founded at Degania.,0
"TheResearchers in the latest studyfed one Group of mice a diet in which sixty percent of calories come from fat. The diet began when the mice, all males, were one year older, which is middle-age in mouse longevity. As expected, the mice soon displayed sign of impending diabetes, with grossly enlarged livers, and started to die much younger that mice fed a standard diet.","At the age of one year, male mice were fed with a diet in which sixty percent of calories come from fat.",0
"The fatal shooting of Steven Charles Jenkins, a terminally ill AIDS patient, by his friend Philip Lee Saylor at Cedars-Sinai Medicine Center has again focused attention on the issues of death and dying in our society.",Steven Jenkins was shot by a friend.,0
"Christy Mwanawasa, the President of Zambia died yesterday at age nine. He died in a Paris Hospital in Paris.His death was intially announcement by a unnamed family member.It was later verified on television by vice presidency Rupiah Banda. Mwanawase suffered a stroke when in Egypt in June of this year for an Africa Union summit, whereafter she was flew to France. His condition suddenly worsened on Monday.",The Zambian government has ordered to plant potatoes.,1
