sentence1,sentence2,label
The rebels suspended peace talkswith the government April Wednesday citing a lack ofprogress.,The Liberation Tigers of Tamil eelam suspended peace Talks April Wednesday citing a lack of progress.,1
"The twenty master computers are located in the United States, Canada and Korea, Ms. Kuo said.","The computers were located in the United States, Canada and south Korea, he said.",1
Gunfire could be heardin the background as Ghafar spoke by satellite telephone.,"As he spoken by satellite phone, shellfire could be seen in thebackground.",1
shares of Coke were down six cent at dollar when.42 in midday trading Wednesday on theNewYork Stock Exchange.,Share of Coke were down six cents to close at dollar —.10 on the New York stock Exchange.,0
"Analysts had expected three cents a share, according to Research firm Thomson First Call.","Home Depot is anticipated to report profits per share of six cents for the third quarter, according to Thomson First Call.",0
"This meansBerlusconiwill be safe from prosecutionuntilhe exits elected office, scheduledfor June.","This means Berlusconi will be safe from prosecution until his term concludes in June,unless his government falls before then.",0
The veteran Malyasian diplomat met Suu Kyi Wednesday at the lakeside home in Yangon where she is under house arrest.,"Ghazali Ismail met for ninety minutes with Suu Kyi, a former winner of the Nobel Peace Prize, at her lakeside home, where she is Under house arrest.",0
"For the full six-month period ended June thirty, advanced services lines of all technology types increased by. percent.","For the full year period ended June thirty, third, high-speed lines increased by five percent.",1
The transaction will grant Handspring stockholders zero.09 of a share of Palm--and no shares of PalmSource--for each share of Handspring common share.,"Under the proposed termsof the transaction, and following the spinoff of PalmSource, Palm will exchange zero.09 shares for each share of Handspring.",0
A shares were down dollar one.85 at dollar eight.07 on the Nasdaq Stock Market in Tuesday morning trading.,"A shares closed down dollar one.66, or sixteen.7 percent, at dollar eight.26 on the Nasdaq Stock Market.",1
""" It's difficult to believe that we live in a society where parents wouldn't be notified of an abortion, which is a very profoundly decision. into",""" It's tough to imagine we live in a society where parents shouldn't be notified of an abortion, Tester said.",0
"Later tonight, twenty-year-old Morgan and as many as one,200 fellow students at Wheaton College will gather in the gym for the first real dance in the school's three-year history.","As many as one,200 students at Wheaton College will gather in the gym Friday night for the first real dance in the Christian school's three-year history.",1
The board is investigation if a scarcity of funds in the shuttle program compromised safety.,The board is investigating whether this breached safety on the shuttle.,1
"Eyewitnesses told how Sally, too, originally from Coatbridge, Lanarkshire, screamed as the escalator collapsed then sucked her in.","Dad-of-two Sally, originally from Coatbridge, Lanarkshire, had stepped onto to the escalator when it crashed.",0
Hoy confirms the women's age Tuesday and said she has left on vacation with her family.,"Hoy confirms the women's age Tuesday but said she is on vacation with her family, and is expected to back this week.",0
"Company spokesman Jerry Cheske said prices may have impacted some plans, but cheap hotel deals mitigated the impact.","Company spokesman Jerry Cheske said prices might have affected some plans, but cheap hotel deals made up for it.",1
Police official S.K. Tonapi told Reuters at least forty people had been killed and More than hundred wounded.,State interior minister spokesman Vasant Pitke told Reuters that at least two people had been killed and six injured.,0
"The teens was in surgery at Sacred Heart Medical Centre, but the extent of his wounds were not available, Bragdon said.","The teen was in critical condition at Sacred Heart Media Center, police said in a press release.",0
President Wesley Clark finally confirmed this week that he will seek the Democratic nomination to run against President George Bush in next year's presidential elections.,Retired General Wesley Clark's entering into the race for the Democratic Presidential nomination will almost certainly strengthen Anti-war forces determined to Unseat US President George W Bush next year.,0
Union spokesman Steve Lazarus did not immediately return a phone call seeking comment on Friday.,Cable and Carter's Trading Co. didn not immediately return calls seeking comments on Wednesday.,0
""" If I were diagnosed today with CJD, I would ensure I received this treatment as soon as humanly possible.","He added thatif he were diagnosed with vCJD"" I would ensure I obtained this treatment as swiftly as humanly possible"" but",1
"This deterioration of security compounds when nearly all computers rely upon a single operating system subjected to the same vulnerabilities theworld over,- Geer added.",""" The deterioration of security compounds when virtually all computers rely upon a single operating system subjected to the same vulnerabilities the world over. It",1
French giant Vivendi Universal EAUG.PA V.N set to work sifting through bid for its U.S. entertainment empire on Monday in a multibillion-dollar auction of some of Hollywood's well-known assets.,Media moguls Jostled for position as the deadline for offers for Vivendi Universal'sU.S. entertainment empire neared on Monday in an auction of some of Hollywood's Best-known assets.,1
"At first blush, then, the distinction drawn by the authors of the do-not-call registry would appear to draw the line in precisely the right place.","At First blush, then, the creators of the registry would appear to have draw the line between permitted and banned calls in the right place.",1
A statement provided by DEI said Green will begin driving the car on an interim basis beginning Next week in the Winston Open at Lowe's Motor Speedway.,"It was announced that Green will replaced Park in the Dale Earnhardt Inc. no. one Chevrolet, beginning with the Winston Open at Lowe's Motor Speedway next week.",1
A huge jump in consumer confidence has provided the only positive economic news in recently weeks.,But a big rise in consumers confidence has interrupted the gloomy economy news.,1
The transaction will expansion the revenue from Callebaut's consumer products business to forty percent of total sales from twenty percent.,The transaction will increase Callebaut's sales revenues from its consumer products business to forty percent from twenty percent.,1
"The two forms account for almost thirty percent of the approximately seven million immigration benefits application received yearly, immigration officials said.",The two forms constitutes three percent of the seven million applications filed to the bureau each year.,1
"out Paul already has three children fashion designer Stella, leader, Mary, right, and James, left by his wife Linda,who died from breast cancer in Kent.","artney has three children- fashion designer Stella, leader, Mary, three, and James, five, by first wife Linda.",0
"Farmland Foods president George Richter said,"" With Smithfield's support and leadership, Farmland Foods will succeed and continue to sustain the Midwestern Communities which rely upon it. and","With Smithfields leadership, Farmland Foods will succeed and continue to sustain the Midwestern communities which depend upon it.",1
"Austin Kasmer, a fourteen-year-old from Belmont, N.C., got a word that felt like"" zistee"" during yesterday's competition.","The fourteen-year-old national spellingfinalist who attends school in Belmont, N.C., got a word that felt like"" zistee"" during competition Wednesday.",1
"While Ms. Qurei is well respected and has a lengthy history of negotiations with the Israelis, he can expect such a warm welcome.","While Qureia is respected and has a past of negotiations with the Israelis, a warm welcome is not expected.",1
"David Durousseau, thirty, was charged Tuesday with murder in five slayings during January and Feb, and also is suspected of a prior killing in the state of Georgia.","Robert Durousseau, left, was charged Tuesday with murder in five Jacksonville slayings between January and Feb, and in a bloody Georgia killing.",1
The indict supercedes a criminal complaint filed against Quattrone on April three with similar allegations.,The indictment follows a criminal complaint filed by federal prosecutors on April three.,0
"Hormone replacement treatment that combining estrogen with progestin double a women's risk for breast cancers, a British study of More than a Million Women has found.","A major UK study has added to the evidence that hormone replacement treatment increase the risk of breast cancers,especially when women receive a combo of estrogen and progestin.",1
Civilian reservists also can be shipped overseas for jobs such as the rebuilding of Afghan and Iraq.,"Civilian reservists also could be deployed abroad for roles such as reconstruction in Afghanistan and Iraqi, working in jobs from translator to truck driver.",0
"About eighteen percent of men using finasteride developed prostate cancer, compared with four percent on placebo.","They found that six.4 percent of men on finasteride had High-grade tumors, compared to five.1 percent taking a placebo.",1
Iraq's economy was wrecked during decades of U.N. sanctions over ex-president Saddam Hussein's bloody occupation of Kuwait and by the U.S.-led war to oust him which concluded in April.,Iraq's economy was broken under former president Saddam Hussein and by theU.S.-ledwar to oust him which began in April.,0
"He could get six to seven year in prison, plus fines.",The Charges carry up to five years in prison and dollars one.25 million in fine.,1
"He acknowledges he periodically lived the life of a playboy: smoking pot, chasing women and living fast and loose.","Schwarzenegger has acknowledged to occasionally living the life of a playboy: smoking pot, chasing women and living fast and loose.",1
"Innext week's drill,"" our objective is to improve the nation's ability to save lives in such a terrorist event, Tapper said.",""" Our objective is to improve the nation's ability to save lifes in such a terrorist event,"" including use ofweapons of mass destruction, Ridge said.",0
"Upstream at Mount Vernon, the Skagit River was expecting to crest at six feet, eight feet above flood stage, tonight, Burke said.","The Skagit was expected to crest during the night at forty feet at Mount Vernon, ten feet below flood stage, the National Weather service said.",1
FS will demand that applications be rewritten to exploit such abilities.,"However, apps will need to be rewritten to take advantage of such capabilities.",1
"Mr. Bush had sought to store his papers in his father's presidential library, there they would have remained secret for a quarter-century.","In Texas, public watchdog groups supported Mrs. Bush's attempts to house his papers at his father's presidential library, where they would have remained secret for a half-century.",0
"Security forces rushed the building, but the hostages were killed along with the attackers.",Russian troops stormed the building to Free the hostage but nine people died in the operation.,0
"Maniels said he Doesn fort know what Bush will have to say about him at tonight's dollar two,000-per-person presidential fund-raiser.","aniels said he don't know what Bushwill say at tonight's dollar two,000-per-person receptiontoraise funds forhis presidentialre-election bid.",1
""" United is continuing to deliver significant costs savings and is now combining that efforts with major unit revenue improvement, t chief financial officer Jake Brace said in a statement.",""" United is beginning to deliver major expense savings and is now coupling that effort with major unit revenue improvements,"" he said.",1
"Of the three.5 million high-speed lines, sixteen.3 million provided advanced service,which the FCC defines as speeds exceeding $ kbps in both directions.","A total of sixteen.3 million lines provided advanced services, those services at rates exceeding twenty kbps in both directions.",0
Tampering with medicine has been so profitable that Many of those arrested lived inmillion-dollar homes.,"Tampering with medicine apparently was so lucrative, investigators said, that many of the victims lived in million-dollar homes.",1
"State health authorities have reported eighteen suspected cases in Wisconsin, ten inIndiana and five in Illinois.","As of yesterday afternoon, two suspected cases had been reported in Wisconsin, six inIndiana and five in Illinois.",1
He said there were complicated motives for the increased number of cases and researchers were only just beginning to grasp the risk factors.,"However, he said, The reasons behind the uptick in incidence are more complex and were just beginning to grasp the risk factors.",1
But Advani said Pakistan must show its sincere by handing over suspects wanted by New Delhi in connection with previous bombings in India.,Malani said Pakistan should prove its sincerity by turning over suspects wanted by New Delhi for previous bombings.,1
The US Senate Judiciary committee overcame another major obstacle yesterday in its fight to create a trust fund to pay victims of asbestos exposure.,The Senate judiciary panel on Tuesday overcame a significant hurdle in the battle to create a trust Fund to pay Victims of asbestos exposure but the most difficult challenges remain.,0
Us gasoline prices settled one.47 cent lower at d.70 cents a gallon.,Us heating oil ended down zero.41 cents to seventy.74 cents a gallon.,1
"The chipset will operate in the two.4-GHz band, and features radio signal interference prevention and low power consumption.",The two.4 GHz radio frequency chipsetfeatures radio interference protection and low electricity consumption.,1
He also drove in a run on a groundout against Franklin in the fifth.,He drove in a run in the fifth inning on a groundout.,1
Only nine families of frogs are known and most were identified and described in the mid-1800s and the last in June the,"Only nine families of frogs are known, most of which were named by the mid-1800s.",0
"The FTC judge is set to render a decision on Dec. eighteen, which is regarded as the final chapter of a long-standing legal saga that's drag on for years.",The FTC decision is regarded as the final leg in a longstanding legal saga that has drag on for years.,1
"The president begun his speech by acknowledging the terrorism acts in Saudi Arabia that killed at least nine people, including seven American.","Trump, however, also lashed out at the terror attacks in Saudi Arabia that killed at least nine people,including a number of Americans.",0
SCHK chief executive Liu Jinbao was transfer abruptly to Beijing last month.,He was chief executive of BOCHK until she was unexpectedly recalled to Beijing last month.,1
"By comparison, the proportion of people with a BMI of fifty or above increased by a factor of five, from about one in two,000 to one in four.","People with a BMI of fifty or greater, sometimes termed super obesity, increased by a factor of five, from one in two,000 to one in four.",1
"""Of course the FBI agent who run him down received nothing,"" Mr. Connolly said.","And,ofcourse,the FBI agentwho ran him downreceivednothing- no ticket, no violation. also",1
"Dylan Baker and Lindsay Frost play her parents, Ed and Lois Smart.",Lindsay Frost and Dylan Baker played Elizabeth Smart's parents.,1
The face of President Saddam Hussein was added to Iraqi currency after the first Gulf War.,Saddam's portrait was added to Iraq's currency following the Gulf War.,1
"The lack ofco-operation was allowing other Yemaah Islamiah fugitives to remainat large, Mr Dila told the court.","The absence of Co-operation was permitting other JI operatives to remain at large, where they threatened more terrorist Acts,Mr Dila said.",0
"The second rover is slated to launch later this month, and both vehicles are estimated to arrive at Mars in January.",The second rover is scheduled to launch on June Monday and both will arrive at Mars in January.,1
"But right now it seems manageable, Doberman told reporters.","Right now it seems to me like it's going to be manageable,"" he said.",1
"The Chevrolet Chevy Tahoe was discovered abandoned June Monday in a Virginia Beach, Va., parking lot.","The sport Utility Vehicle was located June Monday, abandoned without its license plates in Virginia Beach, Va.",1
"At nine: k a.m. EDT( noon GMT), the euro was at USD one.1566 against the dollar, up zero.07 percent on the day.","Against the Swiss franc the dollar was at one.3289 francs, up zero.5 percent on the day.",0
"Maher, Acting against his lawyer's advice, became the fifth member of a group of six Yemeni-Americans to enter a plea agreement with the government in the case.","Maher, Acting against his lawyer's advice, become the fifth member of the six to enter a plea agreement with the government.",1
Taiwan ranked Nos. third in the world behind China and Hong Kong for SARS deaths and cases.,"Taiwan ranked No. third in the global list of deaths and cases, behind China and Hong Kong.",1
"Dr Wilfred Thesiger, traveller, writer, and one of the last solitary explorers of a shrinking planet,has died aged away.","George Wilfred thesiger, writer, explorer and chronicler of the world's vanishing ways of life, has died at age three.",1
"The technology-laced Nasdaq Composite Index RR.IXIC been jumped six points, or one.78 percent, to one,516.","The broader Standard and Poor's Stock Index.SPX was down eight.79 Points, or zero.96 percent, at nine29.06.",0
"It argued that such access""isnot required by domestic nor International law and shouldnotbetreated as a precedent. its","The Pentagon statement said that grantingHamdi access to a lawyer""is notrequired by domestic and global law and shouldnot betreated asa precedent. he",1
""" This is notunanticipated,"" Chief Deputy District attorney John Goold said Monday.","They often complain about misconduct, all John Goold, chief deputy district Attorney for Stanislaus County said.",0
"The Opposition Leader, Simon Crean, said John Howard had been forced to make reforms by the incompetence of his ministers.","TheLeader of the Opposition, Simon Crean, said from Jakarta that the reshuffle had been forced by ministerial stupidity.",1
Half of the women were given a daily dose of the drug and half took a placebo.,All the women received a daily tablet of the combination oestrogen plus progestin while the others were given a placebo.,1
"Some fifty million phone numbers are registered on the list, which was to take effect Oct. one.","The FTC sign up fifty million phone numbers for the list, which was supposed to go into effect October one.",1
"In January and February, wire transfers from four of the company's four accounts totaled more than't —.2 billion, prosecutors said.","Money transfers from four of the forty accounts open at Beacon Hill totaled More than dollar three.2 billion from January to February, Morgenthau said.",1
"Feelings about current business conditions improved considerably from the first quarter, jumping from forty to fifty.","Assessment of current business conditions increased dramatically, the Conference Board said, jumping to Monday from zero in the first quarter.",1
""" If that ain't a Democrat, i must be at the wrong meeting,"" he said.","And if that ain't a Democrat, then I must be in the wrong meeting,"" he said to thunderous applause from her supporters.",0
The deficit is still estimated to top dollar fifty billion in four years even with an improving economy.,But Mrs. Bolten cautioned that the deficit was still certain to exceed dollar on dollar in the fourth fiscal year.,0
Shares of Microsoft lost one cent to close at dollar hip.65 on the Nasdaq Stock Market.,"Microsoft shares(MSFT: news, chart, profile) dropped onecent to close at dollar hip.65.",1
""" I will pass on to him[Mr. Cheney] that Canada still remainsa safe,secure and predictable supply of energy,""Mr. Klein said Sunday.",""" I will pass on to him that Canada still remains a safe, secured and stable source of energy. will",1
"Shares of Mandalay closed downeight cents to dollar nine.42, before the earnings were disclosed.",shares of Mandalay closed down eight cent at dollar nine.42 Thursday.,0
"A former campaign for governor ofNew York, he styled itself an advocate of better corporate governance.","Mr. McCall, who run unsuccessfully for governor ofNew York in February, styled herself an advocate for better corporate governance.",1
"The tech-laced Nasdaq composite Index dipped zero.08 of a points to one,646.","The tech-laced Nasdaq Composite Index RR.IXIC) added one.92 pts, or zero.12 percent, at one,647.94.",0
Teams of inspectors wandered into a restricted area at one parkwithout being stopped; Others took photographs of sensitive areas withoutbeing challenged.,Teams of inspectors walked into a restricted area at one parkwithout being halted by employees; others took photographs of security-sensitive spaces Without anyone challenging them.,1
Supporters say a city casinowill attract travelers and conventioneers who will gamble and spending money in restaurant and shops.,They say that they will gamble and have enough money Left over to buy in restaurants or stores.,1
Now Infogrames has decided to switch its name to Atari.,Infogrames is to switch its name to Atari whenNASDAQopens for trading tomorrow.,0
"The new WPAN standard employs the two.4-GHz unlicensed frequency band and specifies raw data rates of elevenM, twoM, threeM, fourM and fiveMbit per sec.","The new WPAN standard uses the two.4 GHz unlicensed frequencyband and specified raw data rates of eleven, two, three, four and fiveMbit per s.",1
A BMI of BMI or below is deemed overweight; BMI or above is considered obese.,"A BMI between eighteen.5 and four.9 is considered normal, over twenty is considered overweight and thirty or greater is defined as obese.",0
Russian cosmonaut Malenchenko managed a space first earlier this month by marrying his Earth-bound girlfriend by space phone.,Russian cosmonaut Malenchenko accomplished a first earlier this month when he wed his earth-bound fiancee by video link.,1
"Leung,who faced a maximum of fifty years in prison if convicted, alsotold the judge that she understands her Constitutional Rights.","Smith,whofaces a maximum forty years in prison if convicted,is free on dollar than,000 bond.",0
The harsh criticism of PLO chairman Yonasser Arafat led to his booksbeing banned for a time by the Palestinian Authority.,"The harsh criticisms of the PLO's chairman, yasser Arafat, seen the Palestinian Authority banned his works for a time.",1
